id,length,pack,state,size,condition,cat2,stacks,width,count,target
1296,22906,52898.7879,ST-C,17565,CO-A,CA-8,57474,3133.701,39830.11153,TA-1
1297,6300,NA,ST-22,49474,CO-6,CA-11,45884,6672.416,9951.794,TA-4
1298,25594,48443.7187,ST-F,15577,CO-B,CA-12,38676,10460.888,61003.50215,TA-1
1299,19738,30799.0976,ST-B,15289,CO-D,CA-6,48739,6536.592,20434.21385,TA-1
1300,2005,30413.5338,ST-28,32795,CO-D,CA-5,41505,18555.42,41181.90916,TA-2
1301,21694,73978.8276,ST-D,35587,CO-A,CA-5,44581,17210.936,43282.15608,TA-3
1302,17260,NA,ST-10,17642,CO-0,CA-19,25876,26605.772,78092.50348,TA-0
1303,13372,56131.4986,ST-2A,12599,CO-B,CA-7,41208,19374.593,31938.66992,TA-1
1304,10702,40490.936,ST-2A,50397,CO-4,CA-9,28565,3058.949,64522.52057,TA-4
1305,33653,47436.097,ST-26,41718,CO-1,CA-7,48422,12210.629,34205.91581,TA-4
1306,28217,NA,ST-13,44845,CO-B,CA-D,46561,14594.394,6131.98731,TA-4
1307,34998,27368.683,ST-1A,29335,CO-5,CA-4,35532,6947.581,22195.14674,TA-4
1308,22754,56391.8698,ST-23,45114,CO-5,CA-10,43618,25876.363,31360.29675,TA-4
1309,29043,51034.0099,ST-25,24877,CO-B,CA-0,48893,16421.392,59368.43363,TA-4
1310,24811,53301.1529,ST-B,8120,CO-0,CA-12,36343,15739.782,58072.24825,TA-0
1311,2065,NA,ST-2B,34146,CO-C,CA-13,44782,14387.266,49676.21344,TA-2
1312,9301,56857.3675,ST-F,6522,CO-5,CA-C,50276,20937.599,48928.58196,TA-0
1313,32672,53588.3594,ST-13,35636,CO-B,CA-6,43533,9116.489,71546.81448,TA-4
1314,1651,68741.3282,ST-20,12328,CO-D,CA-16,48554,22892.229,36405.06666,TA-0
1315,9679,51771.5676,ST-1C,39678,CO-9,CA-11,40328,9132.241,63192.78371,TA-3
1316,1457,46964.4462,ST-27,30480,CO-6,CA-19,48348,13387.263,15350.86272,TA-1
1317,35598,46622.7575,ST-24,39404,CO-B,CA-5,44110,26850.641,37942.57872,TA-4
1318,18446,69940.1387,ST-1,10167,CO-0,CA-10,16469,5461.882,10444.04442,TA-0
1319,26893,41342.8938,ST-10,15960,CO-D,CA-D,33888,4415.433,64879.12261,TA-1
1320,12905,70220.3427,ST-0,33999,CO-3,CA-A,25625,14601.324,44276.88602,TA-2
1321,37384,49787.6972,ST-B,27182,CO-4,CA-2,26178,17236.007,65301.01068,TA-2
1322,32303,61902.0344,ST-29,43831,CO-9,CA-15,47417,12326.529,55978.77864,TA-4
1323,17787,64159.6945,ST-19,20245,CO-4,CA-0,48684,26055.845,69292.66605,TA-2
1324,12239,39856.2718,ST-16,824,CO-C,CA-0,38412,4081.798,45042.20377,TA-0
1325,30030,62569.6426,ST-29,43541,CO-5,CA-18,26857,8375.592,25905.78147,TA-4
1326,11134,53010.9504,ST-E,42613,CO-5,CA-15,28817,26450.324,75747.32362,TA-3
1327,33606,45407.1309,ST-0,10848,CO-7,CA-1,43678,12067.516,14805.18948,TA-0
1328,31581,64213.4426,ST-21,34976,CO-8,CA-9,32740,13167.932,62419.92755,TA-4
1329,15504,42858.9403,ST-29,3249,CO-B,CA-14,32299,25988.981,88630.88814,TA-0
1330,25758,52586.8398,ST-1F,20380,CO-4,CA-C,34051,20788.543,7292.81388,TA-2
1331,2641,46454.4282,ST-21,12283,CO-C,CA-0,42116,26118.804,13000.01516,TA-0
1332,5469,61943.5264,ST-12,24799,CO-B,CA-16,46189,6771.825,79008.8281,TA-1
1333,27501,62938.3351,ST-1B,41399,CO-6,CA-B,37014,1505.11,80402.91132,TA-4
1334,36402,40333.1514,ST-5,37963,CO-A,CA-1,50113,24678.19,11942.39178,TA-3
1335,20219,49010.8553,ST-4,24836,CO-D,CA-3,45212,4422.363,80661.99959,TA-1
1336,25120,NA,ST-C,23748,CO-9,CA-8,45995,19103.793,52025.12777,TA-2
1337,32754,NA,ST-14,21228,CO-8,CA-7,46449,5575.541,89353.46037,TA-2
1338,4168,46748.9633,ST-2A,28276,CO-7,CA-11,49780,17642.891,41578.71321,TA-1
1339,14340,46846.6351,ST-D,17552,CO-8,CA-15,27663,7794.193,48571.00574,TA-0
1340,20599,45825.4191,ST-7,32744,CO-5,CA-4,19118,17621.84,42123.85819,TA-2
1341,13418,65160.3286,ST-2A,11992,CO-5,CA-1,25078,19017.723,32924.90234,TA-1
1342,7265,54367.8888,ST-10,42806,CO-C,CA-11,33352,1098.104,50534.66625,TA-3
1343,894,29716.7826,ST-19,41836,CO-4,CA-5,47266,9434.65,69009.28302,TA-3
1344,3463,33903.6999,ST-28,27180,CO-5,CA-F,44562,22588.623,46926.35235,TA-1
1345,23062,52056.4818,ST-7,39140,CO-D,CA-10,28553,3727.77,51952.55742,TA-3
1346,33067,51684.2421,ST-1A,33917,CO-C,CA-E,43352,18464.692,28732.49922,TA-4
1347,16993,NA,ST-6,11249,CO-5,CA-5,38576,21326.949,18955.35184,TA-0
1348,3179,57202.052,ST-1B,6594,CO-2,CA-D,48793,25806.39,24805.3851,TA-0
1349,3545,52586.7059,ST-2,34755,CO-0,CA-8,30022,24046.514,81510.6637,TA-2
1350,7098,42012.3626,ST-10,9422,CO-1,CA-19,31290,24873.249,66747.36892,TA-0
1351,38401,52894.9228,ST-20,46391,CO-0,CA-C,41630,9802.131,19801.40411,TA-4
1352,21269,38987.3765,ST-7,48272,CO-1,CA-14,37955,13708.108,42233.17282,TA-3
1353,3626,35117.1598,ST-5,44646,CO-6,CA-1,33635,15373.965,82623.8775,TA-3
1354,23175,34263.675,ST-D,49963,CO-8,CA-D,24755,25959.777,82117.59927,TA-4
1355,35364,32050.9258,ST-1B,16311,CO-8,CA-17,53065,7865.863,5931.31492,TA-2
1356,33925,30108.4979,ST-1F,35562,CO-8,CA-0,45799,22946.275,58257.93886,TA-4
1357,23512,56064.9303,ST-9,43826,CO-1,CA-5,50276,12428.62,1785.82852,TA-3
1358,31115,40465.9513,ST-9,40122,CO-3,CA-19,27275,11842.857,73875.23312,TA-3
1359,22209,43970.5401,ST-8,45677,CO-C,CA-A,42945,3270.51,18754.24557,TA-3
1360,13650,54816.6817,ST-4,8393,CO-9,CA-2,44507,14996.82,33914.17396,TA-0
1361,21208,65498.7625,ST-0,41514,CO-C,CA-7,39397,11838.098,12699.26765,TA-3
1362,9641,26142.0765,ST-6,49355,CO-0,CA-10,37629,19064.676,88152.74182,TA-3
1363,34551,49941.1595,ST-8,2376,CO-1,CA-18,41583,1840.861,67888.01655,TA-0
1364,4192,52306.0072,ST-29,20426,CO-C,CA-A,35874,5528.678,49873.72959,TA-1
1365,25009,22724.6197,ST-7,34548,CO-9,CA-D,40694,17957.217,28022.54138,TA-2
1366,36038,31690.2783,ST-28,48608,CO-A,CA-18,53794,6333.546,39596.29487,TA-4
1367,5729,54217.7538,ST-1E,25930,CO-2,CA-5,49226,6552.114,64427.76694,TA-2
1368,25979,36144.0261,ST-C,48714,CO-D,CA-11,42632,20310.152,52892.21066,TA-4
1369,33571,26492.0589,ST-2A,49112,CO-A,CA-A,41874,16104.194,37756.51944,TA-4
1370,37205,51196.7233,ST-7,49257,CO-9,CA-C,43993,1653.1,7082.39907,TA-4
1371,21005,41561.0735,ST-19,12035,CO-D,CA-17,25254,7709.262,21609.88381,TA-1
1372,30800,NA,ST-3,42707,CO-0,CA-18,45296,9912.757,27050.62341,TA-2
1373,849,49755.1214,ST-C,45088,CO-A,CA-5,37117,14733.287,18703.68836,TA-3
1374,28434,NA,ST-D,40878,CO-4,CA-8,27658,21047.459,56519.51472,TA-3
1375,25699,43990.9344,ST-22,25569,CO-7,CA-18,14541,15516.765,34912.73734,TA-3
1376,842,50363.7364,ST-12,6340,CO-C,CA-18,32644,17842.224,11661.90147,TA-0
1377,36914,50574.027,ST-7,25596,CO-4,CA-B,32054,24671.881,6811.36756,TA-2
1378,16534,47704.763,ST-26,3664,CO-2,CA-18,29464,15840.485,21157.43966,TA-0
1379,19652,29448.5112,ST-23,31288,CO-6,CA-12,20361,22710.58,27250.26298,TA-3
1380,32393,31735.515,ST-2B,39192,CO-5,CA-F,29835,23088.688,73790.18755,TA-4
1381,28420,39886.5589,ST-29,31396,CO-D,CA-0,38914,19405.986,7726.05158,TA-4
1382,20092,27375.6619,ST-26,46846,CO-B,CA-D,49330,14267.311,63731.35124,TA-4
1383,21076,71209.4368,ST-C,25488,CO-2,CA-14,33864,15753.541,17284.82382,TA-1
1384,14686,53725.7799,ST-1B,2031,CO-8,CA-D,39889,12670.731,31046.20346,TA-0
1385,4151,42922.9854,ST-2A,31421,CO-8,CA-4,35962,26868.908,1775.07311,TA-2
1386,25532,51611.6884,ST-A,37227,CO-A,CA-12,38351,9851.139,13095.90514,TA-3
1387,10579,48811.9535,ST-9,25972,CO-7,CA-18,37031,18093.486,65216.72583,TA-1
1388,36709,37387.4242,ST-29,11009,CO-A,CA-17,45644,16954.621,32960.46722,TA-3
1389,28093,26765.5052,ST-13,23143,CO-D,CA-2,58371,11053.116,71548.75386,TA-2
1390,29159,38232.3722,ST-12,39279,CO-3,CA-6,27331,18327.013,39373.12316,TA-4
1391,23315,43496.6684,ST-7,20468,CO-4,CA-18,33427,17272.179,84077.71286,TA-1
1392,13635,52733.1406,ST-2,16271,CO-0,CA-3,45092,6529.356,43115.56605,TA-1
1393,811,50364.9103,ST-1D,36404,CO-1,CA-4,41300,11498.163,8922.57506,TA-2
1394,20774,60925.448,ST-25,11410,CO-C,CA-4,35690,10997.464,48015.47446,TA-2
1395,7753,33020.5172,ST-21,44743,CO-C,CA-15,46128,26942.621,46519.9063,TA-3
1396,6295,47352.589,ST-2,3106,CO-B,CA-6,48031,13829.916,46253.5007,TA-0
1397,25394,50236.7726,ST-28,41225,CO-7,CA-6,41439,7832.428,63209.20214,TA-4
1398,34380,40101.0007,ST-F,790,CO-0,CA-1,40098,22737.7,75180.77786,TA-0
1399,4215,51441.7447,ST-1F,28098,CO-B,CA-0,20316,17917.298,74962.44997,TA-2
1400,37529,39857.1638,ST-1D,14996,CO-9,CA-7,49182,23197.999,30018.88673,TA-3
1401,37779,30532.8334,ST-7,28376,CO-3,CA-0,44056,1470.205,86434.55457,TA-2
1402,24077,54392.6768,ST-1,38429,CO-5,CA-D,13192,5596.809,14515.22513,TA-2
1403,25324,41616.9368,ST-23,48915,CO-0,CA-A,38012,19232.335,42223.79369,TA-4
1404,20908,51968.3814,ST-F,24526,CO-5,CA-3,45262,3127.444,87107.76533,TA-2
1405,1543,41675.6523,ST-D,15491,CO-6,CA-15,49025,6894.302,31181.41227,TA-0
1406,8713,51139.1414,ST-11,43801,CO-3,CA-16,43271,1308.487,75660.34943,TA-3
1407,28567,56198.2988,ST-6,13838,CO-D,CA-9,49845,7489.164,67155.08595,TA-0
1408,22791,61550.0211,ST-1B,30323,CO-A,CA-11,28831,12800.608,75692.47153,TA-3
1409,28904,36615.3891,ST-9,17292,CO-2,CA-13,28402,12826.627,48531.88888,TA-1
1410,1801,56153.0614,ST-1B,40243,CO-0,CA-4,29919,26814.07,65997.15558,TA-3
1411,17037,52251.2359,ST-1C,21710,CO-4,CA-9,45532,11354.416,47726.39085,TA-2
1412,28304,54667.1098,ST-E,12798,CO-4,CA-11,26243,18741.334,77929.35772,TA-1
1413,37806,59780.7376,ST-22,39326,CO-5,CA-3,55850,17027.286,64421.54875,TA-4
1414,5607,NA,ST-1,36969,CO-B,CA-C,45727,13187.196,87664.64355,TA-2
1415,17665,52911.4101,ST-16,24791,CO-D,CA-16,36601,16381.647,27055.85756,TA-1
1416,19191,28794.5123,ST-4,17331,CO-2,CA-D,46914,5935.647,82864.45786,TA-0
1417,29236,43066.6056,ST-1C,15178,CO-D,CA-10,39567,19212.793,76538.33582,TA-2
1418,28192,52985.3004,ST-1B,1360,CO-C,CA-0,23361,9365.481,24667.25225,TA-1
1419,9119,38773.6713,ST-1F,4245,CO-B,CA-17,31008,16039.339,35624.8028,TA-0
1420,20820,52386.2397,ST-13,15280,CO-9,CA-19,39967,24634.765,2403.63013,TA-1
1421,33408,54079.9449,ST-2A,39531,CO-5,CA-B,51617,6820.647,10820.75999,TA-4
1422,14938,NA,ST-1A,15610,CO-B,CA-9,49489,26759.175,13604.00525,TA-1
1423,9224,40334.8316,ST-22,45553,CO-3,CA-3,43166,2039.903,25495.42017,TA-4
1424,3808,44120.0243,ST-22,21935,CO-1,CA-D,43456,11845.693,62393.05496,TA-1
1425,27190,30414.3117,ST-11,41516,CO-C,CA-F,24455,22595.707,15874.5103,TA-3
1426,22756,NA,ST-3,20965,CO-B,CA-17,53628,11492.299,82668.07866,TA-0
1427,32441,NA,ST-25,32640,CO-1,CA-6,35881,26887.028,3664.0662,TA-4
1428,8812,40377.4961,ST-C,47051,CO-D,CA-0,34117,22401.023,37265.07489,TA-4
1429,38672,48543.3688,ST-14,47029,CO-3,CA-7,55361,7175.554,29658.21233,TA-4
1430,26260,54752.3015,ST-1B,20652,CO-5,CA-A,51406,5548.375,73790.71014,TA-2
1431,5457,41148.6138,ST-19,29339,CO-4,CA-9,59420,25574.219,24369.13897,TA-2
1432,14765,50890.0339,ST-26,28569,CO-0,CA-9,34802,24861.632,34126.26527,TA-3
1433,29181,41859.1256,ST-A,17302,CO-7,CA-12,35865,1598.232,59511.23215,TA-1
1434,3491,47029.1989,ST-1E,30110,CO-7,CA-14,38834,9709.766,39618.21836,TA-1
1435,39100,60895.0789,ST-1E,33229,CO-6,CA-D,43831,16388.006,10945.65306,TA-4
1436,30571,61797.4157,ST-2A,24372,CO-4,CA-9,51049,25340.342,82618.51145,TA-4
1437,25059,35149.2479,ST-17,18792,CO-B,CA-2,32496,12663.539,4141.02234,TA-2
1438,26530,32025.1403,ST-21,3724,CO-7,CA-18,23674,26135.643,51155.15214,TA-1
1439,35999,58071.1645,ST-0,39406,CO-B,CA-18,38650,27302.017,11164.57334,TA-2
1440,1260,65504.4442,ST-F,32097,CO-D,CA-5,43942,18507.71,25932.83013,TA-2
1441,29754,31218.8181,ST-2B,13343,CO-2,CA-5,46545,7604.204,54939.53064,TA-3
1442,16690,23673.3256,ST-A,43695,CO-B,CA-12,45825,20163.558,75414.62815,TA-3
1443,18944,27561.3868,ST-3,42567,CO-D,CA-5,45090,23007.568,56178.52264,TA-3
1444,7205,NA,ST-26,8124,CO-2,CA-E,30450,19928.485,80569.23184,TA-0
1445,31014,39209.1116,ST-23,32242,CO-6,CA-9,18391,11208.344,60851.89306,TA-4
1446,20397,NA,ST-29,1193,CO-A,CA-A,33577,1667.585,4643.2612,TA-1
1447,3144,NA,ST-20,35816,CO-3,CA-A,18703,4046.097,36163.21994,TA-2
1448,33692,39083.2217,ST-25,19377,CO-1,CA-6,41705,10862.36,57822.63163,TA-3
1449,22350,40447.1495,ST-28,34563,CO-B,CA-16,39829,24301.381,1639.13529,TA-4
1450,39366,43165.8196,ST-13,43282,CO-C,CA-2,21562,24661.058,35496.19202,TA-4
1451,12726,34765.5987,ST-A,44536,CO-5,CA-14,54162,8921.904,28114.60455,TA-3
1452,29023,NA,ST-1,9161,CO-A,CA-E,54972,4727.753,40687.33895,TA-0
1453,21006,59016.2977,ST-20,41992,CO-0,CA-16,55087,3784.659,5962.63316,TA-4
1454,9247,49761.0159,ST-1D,29579,CO-1,CA-8,33630,11264.649,5501.23443,TA-2
1455,3034,35775.9582,ST-8,14459,CO-5,CA-15,33412,16677.316,70581.26298,TA-0
1456,11539,47914.5175,ST-6,35648,CO-A,CA-2,41105,19611.904,65403.4226,TA-3
1457,8292,39549.7846,ST-E,40596,CO-0,CA-4,34050,2527.864,14560.6682,TA-3
1458,16325,59159.5877,ST-0,30862,CO-A,CA-F,37220,4802.916,11500.57756,TA-1
1459,23617,53225.6069,ST-29,9923,CO-8,CA-17,29602,15818.231,26399.52979,TA-1
1460,5371,62305.4931,ST-E,4548,CO-9,CA-2,36371,23760.978,47575.21847,TA-0
1461,27649,50614.2153,ST-1B,3121,CO-2,CA-17,35894,14637.821,68418.76809,TA-0
1462,13734,42558.562,ST-1A,20741,CO-3,CA-13,25399,25575.098,68847.02331,TA-1
1463,25289,NA,ST-18,26053,CO-2,CA-13,46095,1445.739,6758.90531,TA-2
1464,1177,40274.0969,ST-27,31086,CO-9,CA-19,45114,25422.665,45339.19659,TA-1
1465,34494,NA,ST-28,42414,CO-9,CA-18,49639,6723.937,24696.51852,TA-4
1466,33300,50976.2801,ST-1C,8283,CO-C,CA-8,25516,10338.165,21599.62594,TA-2
1467,711,NA,ST-20,39382,CO-A,CA-7,28755,25494.203,5084.50684,TA-3
1468,12206,38597.7698,ST-D,23059,CO-B,CA-F,32215,5437.739,12946.46073,TA-1
1469,39202,48170.1354,ST-22,14134,CO-9,CA-17,49296,23725.973,66880.30818,TA-3
1470,1744,23400.1409,ST-11,40070,CO-3,CA-0,31767,19404.987,77485.09659,TA-3
1471,17215,32499.8727,ST-1F,5599,CO-6,CA-D,30385,2349.076,6090.10378,TA-0
1472,13279,48242.7609,ST-1,16930,CO-6,CA-3,25265,26390.773,6616.87943,TA-1
1473,35919,NA,ST-1E,28434,CO-D,CA-0,30063,14155.3,17335.85317,TA-4
1474,5663,43634.7365,ST-1B,47977,CO-5,CA-15,40466,7883.604,47067.05746,TA-3
1475,12910,64889.7968,ST-10,1344,CO-C,CA-B,36312,15612.604,33500.84647,TA-0
1476,30838,33450.4282,ST-1C,15146,CO-A,CA-8,32775,2269.303,88295.04022,TA-2
1477,13493,38642.925,ST-B,35260,CO-0,CA-18,41923,19368.4,69411.06057,TA-2
1478,20189,61468.2404,ST-22,39721,CO-5,CA-6,41908,23438.216,81897.55405,TA-4
1479,8232,NA,ST-20,11345,CO-5,CA-3,18529,868.062,8173.2473,TA-1
1480,9327,57090.0427,ST-D,31577,CO-6,CA-9,52296,21180.826,53421.98147,TA-2
1481,11702,NA,ST-1C,23442,CO-7,CA-2,58224,3706.871,14607.53239,TA-2
1482,31954,NA,ST-1C,39928,CO-7,CA-10,42366,22274.786,74398.37434,TA-4
1483,36850,64258.5337,ST-1,3698,CO-7,CA-A,49344,11758.059,24719.7066,TA-0
1484,16250,29330.3454,ST-23,51136,CO-B,CA-13,41106,6102.655,30891.95354,TA-4
1485,35160,44657.1959,ST-F,38257,CO-B,CA-3,32191,8615.846,6619.74449,TA-4
1486,26803,69319.3778,ST-25,50663,CO-4,CA-D,37336,26707.788,74993.93751,TA-4
1487,2203,46599.0981,ST-13,40312,CO-3,CA-8,46147,5465.55,48075.69598,TA-3
1488,15543,27966.2245,ST-22,30817,CO-3,CA-0,56667,16914.147,70440.28761,TA-3
1489,5422,37797.6179,ST-6,41345,CO-7,CA-9,37684,23153.789,63855.66732,TA-3
1490,1307,32158.6497,ST-21,50922,CO-C,CA-11,27606,2658.999,49495.38316,TA-3
1491,11355,31825.8314,ST-0,27870,CO-8,CA-14,42521,15049.376,27529.91372,TA-1
1492,37191,40362.5451,ST-1,33818,CO-D,CA-1,39228,13046.851,9583.09443,TA-2
1493,12248,54146.6892,ST-E,49630,CO-2,CA-5,28457,9884.393,34187.79978,TA-4
1494,35167,48276.337,ST-E,44934,CO-0,CA-8,33681,8497.802,50469.17114,TA-4
1495,24350,31514.5375,ST-D,39540,CO-C,CA-C,28954,16657.809,8775.16091,TA-3
1496,30163,56385.1681,ST-27,42723,CO-A,CA-6,38141,3857.759,16187.41046,TA-4
1497,6455,49665.6137,ST-2,9145,CO-2,CA-D,57074,3119.122,53182.3858,TA-0
1498,10451,46918.9617,ST-29,18492,CO-2,CA-18,34442,11701.201,22982.13863,TA-1
1499,37080,46544.4367,ST-9,1459,CO-4,CA-9,29311,26567.437,51004.42277,TA-0
1500,10193,38248.2757,ST-25,48784,CO-4,CA-18,26972,2558.466,3943.70328,TA-4
1501,11584,36408.5566,ST-13,16662,CO-9,CA-0,54680,15580.605,37777.62961,TA-1
1502,28703,30241.9765,ST-28,7554,CO-5,CA-4,39149,23090.69,62362.06238,TA-2
1503,13652,52275.8781,ST-2,26806,CO-4,CA-6,48531,9539.923,63329.50848,TA-1
1504,34834,49730.8571,ST-15,45698,CO-3,CA-12,33066,12028.755,17179.83036,TA-4
1505,35098,37043.8236,ST-5,39531,CO-4,CA-14,33493,21683.994,6345.28615,TA-2
1506,33036,37989.2166,ST-23,49827,CO-6,CA-15,39025,16169.733,65121.19842,TA-4
1507,38769,47339.1443,ST-1A,24813,CO-2,CA-4,35662,9596.094,72615.10207,TA-4
1508,33511,65260.5086,ST-23,10381,CO-C,CA-0,37745,15514.113,82739.3874,TA-3
1509,10618,49483.3444,ST-26,17692,CO-D,CA-1,44902,25967.267,56437.35626,TA-2
1510,30064,NA,ST-27,3346,CO-0,CA-18,37358,4360.091,13075.90363,TA-1
1511,10125,56499.195,ST-6,40918,CO-C,CA-8,36901,3754.212,19602.63212,TA-3
1512,21057,61945.5412,ST-8,26464,CO-D,CA-3,62926,25697.774,78592.66052,TA-2
1513,1146,61967.6028,ST-D,43291,CO-9,CA-15,45076,21443.734,9869.23721,TA-2
1514,19759,43495.7382,ST-27,35722,CO-8,CA-10,38754,2416.137,58856.51516,TA-4
1515,30977,58254.1289,ST-15,24519,CO-5,CA-16,43845,3356.313,23284.17128,TA-2
1516,12377,53145.2901,ST-16,35513,CO-6,CA-2,49666,3707.218,78650.56285,TA-3
1517,27586,40267.1607,ST-1,45816,CO-8,CA-B,43286,17197.578,17905.07146,TA-3
1518,9707,48712.1227,ST-B,50353,CO-1,CA-9,41643,6739.083,16642.42629,TA-4
1519,21566,21926.0236,ST-21,6203,CO-9,CA-4,25919,4670.617,54716.07118,TA-1
1520,7087,45469.8331,ST-7,11346,CO-D,CA-1,38401,6212.477,23823.5559,TA-0
1521,22394,46080.353,ST-D,28992,CO-9,CA-5,31422,7014.381,3132.46724,TA-2
1522,5733,46445.2584,ST-0,41415,CO-B,CA-12,41286,19326.762,6377.46502,TA-2
1523,18817,43020.7907,ST-1B,7282,CO-0,CA-A,37494,16652.549,32206.31343,TA-1
1524,11215,35602.5287,ST-1E,34855,CO-4,CA-2,48087,3013.462,41890.42017,TA-3
1525,4222,65979.1607,ST-1A,11466,CO-7,CA-7,35961,1679.019,61993.35168,TA-0
1526,33970,50545.7737,ST-7,5371,CO-8,CA-B,28713,27065.698,54763.03545,TA-0
1527,2329,48577.4672,ST-13,17035,CO-7,CA-16,37084,7203.028,22481.93006,TA-0
1528,27159,34603.7911,ST-1D,39167,CO-4,CA-2,51515,22979.028,26805.56667,TA-4
1529,3426,35713.3435,ST-1E,18762,CO-1,CA-0,35760,2207.478,79976.30082,TA-1
1530,16946,56257.4587,ST-2,3420,CO-1,CA-F,53332,9761.465,54903.56537,TA-0
1531,13093,42039.123,ST-18,5494,CO-4,CA-A,33548,21765.262,15668.58152,TA-0
1532,30119,56617.4961,ST-B,15385,CO-1,CA-15,47937,19482.978,54807.56079,TA-1
1533,27873,65222.0744,ST-D,48640,CO-D,CA-5,41232,6513.03,73303.16701,TA-4
1534,20658,55730.9875,ST-E,46823,CO-A,CA-13,48354,18957.179,83556.12825,TA-3
1535,11123,39052.1602,ST-23,28005,CO-1,CA-8,41561,11324.03,13120.39919,TA-2
1536,38428,50676.5942,ST-11,3060,CO-8,CA-D,29783,22331.92,19453.94113,TA-0
1537,4785,57413.5995,ST-29,49868,CO-7,CA-9,47086,3904.842,32941.19739,TA-4
1538,20461,64281.5951,ST-1F,1172,CO-4,CA-A,38108,6339.05,67249.25868,TA-0
1539,32755,48830.1447,ST-1B,50033,CO-4,CA-A,40792,10067.069,61524.02136,TA-4
1540,11557,NA,ST-13,19208,CO-C,CA-16,42684,18408.345,12861.54205,TA-1
1541,27873,26373.5092,ST-C,39513,CO-D,CA-1,44488,6997.976,51836.79817,TA-4
1542,12079,48606.61,ST-18,46881,CO-2,CA-E,25270,9866.625,23627.85605,TA-4
1543,6661,61046.3088,ST-20,48557,CO-1,CA-F,37832,25200.143,69212.39926,TA-4
1544,12023,38095.1189,ST-1D,4908,CO-3,CA-F,52770,3775.481,53297.57006,TA-0
1545,11390,38425.3027,ST-1A,13388,CO-9,CA-7,42112,8520.33,22347.91104,TA-1
1546,26193,43134.6911,ST-D,43682,CO-3,CA-4,47343,6585.517,42434.66202,TA-4
1547,15419,45737.4565,ST-26,31595,CO-9,CA-9,49873,23207.566,25786.51438,TA-3
1548,28597,32738.6703,ST-28,24250,CO-7,CA-F,54779,7975.5,16581.08593,TA-3
1549,23674,44100.7003,ST-F,3730,CO-0,CA-13,28678,9557.574,12151.64835,TA-0
1550,19037,48850.6046,ST-D,39975,CO-8,CA-0,33483,1961.039,41400.62512,TA-3
1551,8612,NA,ST-5,23022,CO-D,CA-0,31622,6209.352,7628.60289,TA-1
1552,21848,46817.0408,ST-10,36613,CO-0,CA-3,17382,6454.704,53800.61169,TA-3
1553,25063,35350.8214,ST-1C,19572,CO-1,CA-F,50690,25749.829,68742.45514,TA-2
1554,12835,63847.6209,ST-17,27701,CO-0,CA-1,30353,13250.641,16270.36843,TA-2
1555,15458,43821.4985,ST-6,21666,CO-8,CA-15,34294,8437.871,1277.28929,TA-1
1556,9887,43386.4036,ST-26,38696,CO-4,CA-10,37805,6010.99,76020.14717,TA-3
1557,6994,50977.2876,ST-11,27926,CO-8,CA-13,36762,18020.371,42459.48185,TA-1
1558,6357,61482.6975,ST-1C,30477,CO-6,CA-C,30724,18161.02,76532.57527,TA-2
1559,30243,NA,ST-27,38362,CO-3,CA-D,37289,19645.467,4203.34002,TA-4
1560,22512,48139.2191,ST-28,16662,CO-A,CA-E,43690,8227.596,27831.41625,TA-2
1561,29143,30029.2368,ST-10,39227,CO-5,CA-18,46144,8067.552,78588.22644,TA-3
1562,35309,52338.7703,ST-1,45677,CO-A,CA-15,27241,15992.077,26823.9477,TA-3
1563,30588,44072.8673,ST-20,5419,CO-2,CA-F,29427,16374.667,72124.35263,TA-1
1564,36493,46863.2956,ST-2A,17352,CO-5,CA-8,43765,21343.382,79520.05959,TA-4
1565,20784,42483.0664,ST-D,48959,CO-1,CA-14,34983,18885.808,44909.10975,TA-4
1566,7587,38795.0193,ST-1E,25224,CO-3,CA-15,34189,13345.562,82340.78242,TA-1
1567,35497,48895.8345,ST-13,37151,CO-2,CA-6,34419,9390.588,71689.31596,TA-4
1568,3342,50117.383,ST-4,21064,CO-2,CA-18,48482,5838.311,47878.85441,TA-0
1569,15108,36735.051,ST-0,35943,CO-4,CA-0,32181,8771.852,17533.67623,TA-2
1570,33630,30766.7618,ST-1B,34529,CO-1,CA-8,56969,10399.794,9410.38116,TA-4
1571,9078,35209.9959,ST-17,17137,CO-4,CA-9,19067,6467.666,83748.56328,TA-1
1572,26039,50133.0265,ST-8,30762,CO-2,CA-17,25708,4406.114,88291.21852,TA-2
1573,4849,65906.3641,ST-11,7049,CO-1,CA-13,43931,13057.504,16136.61361,TA-0
1574,38683,NA,ST-A,41223,CO-2,CA-1,45535,6102.375,24596.76958,TA-4
1575,38740,56378.246,ST-27,19413,CO-A,CA-7,37548,7606.041,43913.46937,TA-4
1576,37165,49665.2107,ST-14,7338,CO-9,CA-B,38169,9704.439,26249.41981,TA-1
1577,19758,57578.535,ST-15,33135,CO-D,CA-13,52344,14674.561,44544.82481,TA-2
1578,5451,43160.747,ST-9,23213,CO-7,CA-3,35901,23432.398,69977.20739,TA-1
1579,26248,60876.0753,ST-1D,13704,CO-2,CA-C,34354,17766.109,19509.51285,TA-2
1580,19291,28075.5458,ST-D,46770,CO-7,CA-B,56998,20675.155,30395.43773,TA-4
1581,33687,45678.996,ST-10,37899,CO-2,CA-B,54916,21463.109,1562.38806,TA-3
