id,convention,height,max,cat2,number,usage,region,length,code,power,item,weight,country,target
2436,CO-27,147.37,40455,CA-1,14119,US-2B,RE-B,18086.485,CO-0,42488.84,IT-10,37761,CO-1F,73354.32026228929
2437,CO-29,2916.29,46638,CA-21,14536,US-22,RE-0,17616.7696,CO-1,39655.63,IT-14,13719,CO-0,65268.56165721712
2438,CO-4,NA,53501,CA-1,16250,US-13,RE-6,13315.9435,CO-8,46101.01,IT-11,26442,CO-19,97062.64094395739
2439,CO-17,3334.58,30405,CA-24,26238,US-9,RE-3,14050.8068,CO-7,76364.19,IT-18,45974,CO-1E,184400.31984126914
2440,CO-10,NA,64062,CA-14,14706,US-28,RE-6,16526.3635,CO-6,52793.35,IT-1A,4560,CO-1,106540.34043876498
2441,CO-B,3619.07,26256,CA-9,10066,US-27,RE-3,9842.5685,CO-4,37098.38,IT-1D,10539,CO-13,80197.86528135453
2442,CO-14,6502.7,52559,CA-1A,21033,US-8,RE-E,21471.3999,CO-D,41278.21,IT-D,4397,CO-11,58338.58959894594
2443,CO-2E,NA,35316,CA-C,20368,US-18,RE-B,13552.3732,CO-0,50478.76,IT-9,7726,CO-1,108543.61888214828
2444,CO-26,4883.99,51120,CA-8,15934,US-F,RE-11,13005.5089,CO-7,45123.36,IT-6,53598,CO-16,96019.71757802057
2445,CO-28,1919.41,49316,CA-6,19177,US-2B,RE-12,11377.2831,CO-5,31437.92,IT-1E,7379,CO-21,59051.374594158995
2446,CO-16,2069.15,47550,CA-26,18193,US-D,RE-F,9690.8051,CO-5,45023.31,IT-14,5317,CO-1,103734.6670428914
2447,CO-18,2794.62,51807,CA-16,16294,US-24,RE-1A,12029.1056,CO-C,52972.57,IT-0,39894,CO-D,121315.93856810605
2448,CO-22,4881.81,29236,CA-16,16007,US-13,RE-4,11232.0967,CO-0,44575.4,IT-1B,12621,CO-19,98144.46739058883
2449,CO-7,4509.23,51231,CA-3,21965,US-6,RE-1C,10984.564,CO-E,26820.06,IT-11,5996,CO-22,46620.32579284996
2450,CO-14,3617.63,54988,CA-0,23373,US-7,RE-3,20402.758,CO-10,42677.31,IT-A,15226,CO-0,66142.39977088178
2451,CO-11,1394.28,67581,CA-1B,17696,US-29,RE-18,10092.3462,CO-C,32582.33,IT-16,12539,CO-12,66284.50510599423
2452,CO-20,4309.68,42233,CA-27,18329,US-24,RE-5,17253.3038,CO-0,29037.61,IT-5,38809,CO-20,36339.86487884145
2453,CO-4,3475.38,38169,CA-21,15825,US-29,RE-5,13689.6695,CO-0,51332.51,IT-12,36963,CO-23,111710.00506902156
2454,CO-1F,2838.6,54255,CA-27,12213,US-2,RE-4,11505.1655,CO-9,41419.78,IT-2,2576,CO-23,87795.47433763149
2455,CO-1F,NA,69345,CA-20,25545,US-F,RE-14,12010.7035,CO-D,41975.82,IT-10,7265,CO-0,88086.90155373543
2456,CO-14,5916.65,69631,CA-D,22370,US-8,RE-19,16926.9223,CO-0,53498.08,IT-13,27221,CO-3,108450.4409368186
2457,CO-8,NA,57357,CA-B,12292,US-8,RE-A,6827.9736,CO-10,35900.62,IT-F,36283,CO-24,85904.71646774346
2458,CO-B,NA,50009,CA-6,21527,US-1B,RE-8,5044.0026,CO-B,43958.24,IT-8,53991,CO-E,114814.54419175339
2459,CO-25,222.72,52758,CA-10,23091,US-9,RE-6,11551.6649,CO-C,26189.92,IT-B,53986,CO-6,44575.741087668845
2460,CO-2A,2968.66,26426,CA-27,18212,US-C,RE-8,13448.4819,CO-A,76775.99,IT-6,35992,CO-26,186944.86165621204
2461,CO-1E,6337.47,56759,CA-A,22923,US-C,RE-12,12164.6023,CO-C,22916.68,IT-10,40864,CO-8,32859.22718891588
2462,CO-2,NA,21541,CA-9,15753,US-2A,RE-7,18600.8198,CO-3,55186.37,IT-1,7550,CO-27,107645.4950843373
2463,CO-6,4245.63,46030,CA-8,12189,US-20,RE-15,10112.4021,CO-9,57166.22,IT-C,48672,CO-1D,139261.92044421282
2464,CO-B,4147.8,36922,CA-26,22996,US-1F,RE-5,12948.4031,CO-6,57161.33,IT-2,17711,CO-1F,130239.20438924892
2465,CO-23,4307.05,64317,CA-1E,15798,US-22,RE-16,10466.4916,CO-2,40904.75,IT-D,24104,CO-6,89920.18796865908
2466,CO-4,4074.41,47699,CA-23,9564,US-C,RE-1B,14389.5488,CO-C,44438.6,IT-1E,7494,CO-8,88397.3198902903
2467,CO-0,491.19,58715,CA-1,19757,US-9,RE-6,17473.6969,CO-F,33307.54,IT-1A,6897,CO-13,46753.26860197576
2468,CO-9,3904.6,47003,CA-1E,17100,US-14,RE-7,8936.5286,CO-F,56183.67,IT-2,50695,CO-6,139724.91071914995
2469,CO-25,5158.72,51207,CA-11,20874,US-1E,RE-13,17554.8365,CO-E,34974.97,IT-12,29488,CO-6,52460.048043974326
2470,CO-2C,NA,31009,CA-19,20089,US-11,RE-16,15888.258,CO-A,21646.6,IT-C,45147,CO-1C,18790.60479591917
2471,CO-22,2044.23,51005,CA-24,12631,US-9,RE-7,16113.5914,CO-10,39092.83,IT-9,22381,CO-1E,68338.54899683398
2472,CO-F,696.22,60452,CA-C,14812,US-7,RE-D,11207.8278,CO-9,48943.11,IT-E,43299,CO-3,111921.40082415973
2473,CO-21,5485.08,59156,CA-10,12281,US-14,RE-4,7996.3649,CO-8,56376.19,IT-9,10732,CO-1F,142075.82720703387
2474,CO-20,1889.7,67495,CA-9,23683,US-1A,RE-1,12960.824,CO-9,50285.64,IT-A,1663,CO-1,109495.54946159982
2475,CO-1,62.11,37194,CA-18,21233,US-15,RE-3,16000.7637,CO-F,57859.24,IT-12,11043,CO-16,123185.53722794818
2476,CO-15,NA,34856,CA-1F,16308,US-19,RE-C,16001.9234,CO-A,24572.46,IT-13,35943,CO-7,26668.941607695047
2477,CO-8,2820.91,43635,CA-14,13545,US-6,RE-11,11481.5384,CO-7,52603.35,IT-4,45769,CO-12,121959.32244157535
2478,CO-2D,4249.19,47729,CA-0,14707,US-26,RE-1C,6870.5442,CO-A,33023.38,IT-5,52402,CO-4,77642.38899456977
2479,CO-24,3345.03,43584,CA-D,8556,US-22,RE-3,13548.0362,CO-8,30031.39,IT-0,34319,CO-5,49573.33852102715
2480,CO-9,6541.38,36794,CA-6,23003,US-5,RE-2,12001.3985,CO-6,66373.74,IT-6,33931,CO-1C,160492.55940584277
2481,CO-19,1622.35,79573,CA-5,23000,US-18,RE-A,14122.7006,CO-6,43981.11,IT-D,38580,CO-F,88990.67919083104
2482,CO-26,3735.44,52821,CA-11,20485,US-26,RE-2,13111.5517,CO-8,12771.8,IT-13,3793,CO-25,-839.8542706125857
2483,CO-18,5770.66,64598,CA-8,17011,US-1C,RE-3,8276.5621,CO-C,40413.59,IT-0,22430,CO-2,94724.80593934623
2484,CO-19,1772.65,63372,CA-8,20026,US-23,RE-10,16102.6341,CO-10,26918.45,IT-16,14634,CO-1B,32351.278935323746
2485,CO-9,5023.49,44368,CA-5,17990,US-1A,RE-14,14830.1221,CO-A,47081.47,IT-F,16490,CO-D,95215.19256847947
2486,CO-6,3208.34,46858,CA-B,19481,US-16,RE-10,14866.8554,CO-C,50472.0,IT-1A,18917,CO-1D,105142.30590258283
2487,CO-5,526.67,56717,CA-15,13330,US-19,RE-12,12039.8379,CO-E,69889.71,IT-A,1767,CO-1B,169659.2204722192
2488,CO-1F,6276.42,61271,CA-A,22938,US-2B,RE-4,11155.4224,CO-6,55678.68,IT-5,43606,CO-5,131829.68415287416
2489,CO-12,934.33,51739,CA-11,16187,US-23,RE-5,16441.8173,CO-E,56994.72,IT-19,32664,CO-C,120318.82116482018
2490,CO-0,3885.76,56817,CA-1D,17935,US-9,RE-18,14598.3247,CO-2,39606.52,IT-16,15543,CO-12,73934.82048227347
2491,CO-18,5604.06,49059,CA-24,18216,US-B,RE-14,21545.8559,CO-8,45091.6,IT-12,36396,CO-3,71121.62870922442
2492,CO-19,NA,40169,CA-14,21654,US-D,RE-18,12683.3023,CO-1,23230.99,IT-3,47523,CO-19,32538.974578569712
2493,CO-1B,NA,56880,CA-20,20688,US-19,RE-3,15712.4253,CO-6,44675.86,IT-1,21082,CO-0,85806.31843209402
2494,CO-20,2933.88,30419,CA-0,13760,US-3,RE-1B,13935.6805,CO-4,44862.01,IT-18,28569,CO-1A,91735.23966049364
2495,CO-4,6889.6,50112,CA-12,22390,US-1F,RE-4,14851.6733,CO-1,33208.32,IT-D,13456,CO-C,54366.325209956914
2496,CO-14,NA,65533,CA-26,21210,US-28,RE-C,NA,CO-10,51336.39,IT-18,17352,CO-1F,103416.35534572329
2497,CO-22,1411.46,68809,CA-1A,20458,US-16,RE-F,9438.686,CO-7,51657.58,IT-A,38638,CO-14,124748.30138677017
2498,CO-26,5776.1,45582,CA-11,17958,US-19,RE-0,13131.6197,CO-9,31853.74,IT-A,16153,CO-24,55469.59551547865
2499,CO-8,2061.75,26170,CA-1A,19623,US-25,RE-19,9566.3163,CO-E,33261.13,IT-1,44429,CO-11,70606.4064257279
2500,CO-22,6826.43,37871,CA-17,18931,US-B,RE-9,10854.804,CO-2,46437.45,IT-B,8561,CO-8,104580.94463568433
2501,CO-4,767.15,37570,CA-8,22384,US-17,RE-0,10420.0281,CO-2,30215.32,IT-F,37919,CO-F,59093.14039489573
2502,CO-17,NA,72539,CA-A,14254,US-12,RE-F,13495.8367,CO-F,37329.5,IT-4,12520,CO-21,70338.57306643012
2503,CO-A,4811.36,65221,CA-1D,17670,US-20,RE-14,7786.166,CO-B,27400.92,IT-18,52989,CO-19,58615.56534864824
2504,CO-E,NA,64746,CA-2,17174,US-17,RE-10,13943.3168,CO-6,69272.76,IT-6,17926,CO-15,162877.27979054864
2505,CO-22,NA,51729,CA-26,23107,US-7,RE-1,11621.8945,CO-C,44075.48,IT-1B,25963,CO-21,95959.38235586535
2506,CO-21,4833.6,63917,CA-21,13778,US-10,RE-15,12398.6199,CO-C,38646.15,IT-15,19687,CO-1,77613.9577687267
2507,CO-F,2463.82,51175,CA-16,13921,US-6,RE-2,15996.1458,CO-4,34565.09,IT-9,22397,CO-27,55404.2667440263
2508,CO-11,4881.3,42191,CA-1D,24020,US-15,RE-0,12446.355,CO-F,50124.12,IT-1B,47544,CO-0,112039.99804288939
2509,CO-11,3252.17,50453,CA-21,13627,US-24,RE-13,16370.4743,CO-10,50459.74,IT-11,36491,CO-A,101534.12919894427
2510,CO-8,524.6,42878,CA-17,21924,US-F,RE-1B,11110.4107,CO-3,39091.39,IT-10,44112,CO-E,83338.99340257655
2511,CO-C,4622.21,59061,CA-7,26151,US-F,RE-F,16196.3192,CO-1,45315.54,IT-11,1425,CO-D,85447.94687809852
2512,CO-7,4615.43,53662,CA-10,17295,US-D,RE-18,18797.5606,CO-8,38630.31,IT-2,10057,CO-12,58663.71433604567
2513,CO-19,262.38,52496,CA-21,17536,US-0,RE-6,10497.1106,CO-A,43188.71,IT-C,23978,CO-25,96515.81211334582
2514,CO-1C,4353.5,49060,CA-1F,19561,US-C,RE-1B,16983.3288,CO-A,42492.57,IT-1D,52745,CO-24,77171.72161740565
2515,CO-26,4788.85,56202,CA-21,19687,US-8,RE-E,12078.281,CO-1,44359.34,IT-12,22633,CO-13,95378.31044346403
2516,CO-17,4875.7,50240,CA-10,21213,US-1,RE-3,10044.7456,CO-1,46130.55,IT-12,27626,CO-10,106542.70843554573
2517,CO-28,430.45,51946,CA-E,20092,US-26,RE-1B,10858.5621,CO-0,48685.92,IT-11,6953,CO-1B,111106.86061565789
2518,CO-11,4353.28,34310,CA-F,22913,US-1D,RE-10,16715.9502,CO-10,47591.3,IT-1,44153,CO-21,92485.36911817615
2519,CO-17,5779.17,46213,CA-14,6145,US-15,RE-16,5128.2193,CO-1,40742.3,IT-12,8453,CO-2,104541.56356771055
2520,CO-10,5289.53,44054,CA-4,15974,US-3,RE-2,10950.7362,CO-1,48921.7,IT-3,34917,CO-2,112346.36824652116
2521,CO-B,4661.26,50861,CA-7,17603,US-2A,RE-5,15077.1218,CO-6,58052.68,IT-E,52337,CO-3,128091.63984293916
2522,CO-2E,NA,68188,CA-B,20636,US-1C,RE-1C,19070.8072,CO-6,44166.01,IT-B,39438,CO-1B,75576.1864342014
2523,CO-F,5888.94,25505,CA-15,14099,US-14,RE-E,16064.5052,CO-10,51431.49,IT-14,46961,CO-B,105696.49346278865
2524,CO-7,5175.45,38838,CA-9,13492,US-B,RE-17,11184.6097,CO-0,32145.31,IT-5,6401,CO-A,61660.17757543191
2525,CO-C,NA,49353,CA-27,20424,US-12,RE-5,13800.1788,CO-F,28061.53,IT-1B,49600,CO-16,43635.87505180324
2526,CO-3,3020.85,38945,CA-1C,19961,US-D,RE-1C,13842.299,CO-3,32753.89,IT-13,49580,CO-1B,57276.28369084717
2527,CO-20,NA,36342,CA-A,15756,US-C,RE-B,18547.8662,CO-8,38892.0,IT-1C,19416,CO-13,60616.04870576351
2528,CO-0,3862.32,41018,CA-1D,17150,US-2,RE-8,10903.159,CO-9,45057.18,IT-18,12581,CO-E,100508.22116069261
2529,CO-B,4563.02,42465,CA-17,14117,US-26,RE-3,12412.6583,CO-F,75807.6,IT-5,52512,CO-23,187587.23779184173
2530,CO-1D,2184.81,41488,CA-1E,15217,US-16,RE-9,14487.1351,CO-3,33076.88,IT-A,12616,CO-D,55001.0709078928
2531,CO-5,5797.02,45896,CA-8,7050,US-28,RE-7,12231.1414,CO-A,58403.29,IT-9,49200,CO-0,136967.8907236552
2532,CO-1A,NA,45571,CA-20,21260,US-7,RE-1B,NA,CO-6,59148.25,IT-B,8844,CO-23,138429.6434085988
2533,CO-21,435.54,46300,CA-9,20812,US-14,RE-6,8357.0941,CO-B,35417.71,IT-7,53922,CO-D,80536.11603980673
2534,CO-23,2872.03,55854,CA-1C,18258,US-13,RE-13,15759.6067,CO-A,31481.15,IT-2,25892,CO-26,47189.27113038316
2535,CO-24,3248.27,49636,CA-E,19221,US-8,RE-6,11451.2082,CO-2,39286.82,IT-3,24365,CO-19,82360.43356576958
2536,CO-2D,1829.69,51382,CA-9,19951,US-2A,RE-10,4159.3568,CO-0,33672.11,IT-C,37729,CO-27,86952.53188369636
2537,CO-C,5182.42,49010,CA-11,21434,US-20,RE-1A,12441.0645,CO-1,59916.46,IT-1B,22365,CO-1,139932.92284885605
2538,CO-24,5314.14,52758,CA-B,15252,US-24,RE-A,15110.8669,CO-6,38089.8,IT-D,52528,CO-8,69485.15686235717
2539,CO-14,4188.24,57209,CA-16,18985,US-2,RE-9,15708.4996,CO-10,54263.67,IT-17,41084,CO-20,114753.31781449594
2540,CO-1D,2573.19,59411,CA-27,13744,US-24,RE-6,13419.0645,CO-7,38731.81,IT-5,33993,CO-24,75432.24123036557
2541,CO-3,3370.98,34603,CA-2,15100,US-23,RE-17,13488.9678,CO-6,42766.1,IT-7,19744,CO-12,86552.77635723438
2542,CO-29,4365.98,46292,CA-E,21212,US-19,RE-15,6783.2033,CO-C,24605.6,IT-1B,2837,CO-13,52321.52657837742
2543,CO-29,6352.72,41827,CA-26,24027,US-1A,RE-E,15103.5423,CO-7,32482.8,IT-1D,1101,CO-11,51016.69949414938
2544,CO-2,4967.61,45662,CA-1E,15219,US-24,RE-17,16817.751,CO-B,70203.18,IT-12,19306,CO-11,157380.51483894288
2545,CO-5,6365.4,53838,CA-1D,23424,US-21,RE-19,14423.8347,CO-5,49133.86,IT-10,8956,CO-1E,102118.49678939603
2546,CO-7,6384.97,36318,CA-23,17950,US-0,RE-1,13881.82,CO-B,32415.28,IT-1A,36392,CO-7,55691.39638308455
2547,CO-A,NA,42885,CA-9,20068,US-1F,RE-0,13830.0775,CO-2,53117.65,IT-3,39394,CO-27,116635.87882062577
2548,CO-8,113.4,57522,CA-8,20404,US-15,RE-19,11517.2036,CO-5,37375.5,IT-15,54201,CO-1A,77466.37001696939
2549,CO-C,744.37,41362,CA-1B,12876,US-27,RE-18,7701.7706,CO-C,10927.33,IT-0,52323,CO-1A,10540.433824062013
2550,CO-1A,5672.46,19565,CA-0,20345,US-B,RE-8,10485.6427,CO-C,50192.61,IT-C,31169,CO-D,117288.8068746482
2551,CO-29,3815.09,43974,CA-16,17818,US-0,RE-E,9208.3818,CO-F,59971.49,IT-12,38618,CO-17,149774.24466001283
2552,CO-29,4768.26,37437,CA-15,17089,US-9,RE-7,14456.5821,CO-E,73625.63,IT-A,52431,CO-1,175479.92464075584
2553,CO-14,2317.51,49876,CA-9,23801,US-D,RE-13,14775.4037,CO-E,28414.29,IT-1E,39006,CO-24,41528.16103800375
2554,CO-4,NA,53360,CA-25,11271,US-19,RE-14,14857.9788,CO-B,31857.02,IT-19,21279,CO-E,50693.909077612996
2555,CO-9,1669.04,47536,CA-1,22539,US-27,RE-4,9483.1154,CO-1,58174.47,IT-12,42781,CO-26,143830.8909979085
2556,CO-27,341.47,43662,CA-17,13582,US-24,RE-E,15233.0513,CO-C,39319.14,IT-3,37050,CO-10,72116.3329084525
2557,CO-8,714.21,52416,CA-6,15212,US-0,RE-A,7476.6972,CO-0,47912.66,IT-11,16043,CO-8,118872.85569666227
2558,CO-2B,NA,51788,CA-3,17382,US-19,RE-19,13694.7034,CO-5,19609.09,IT-10,41257,CO-F,18854.390892161806
2559,CO-10,3565.23,55880,CA-0,13729,US-C,RE-9,10067.4143,CO-8,44620.33,IT-B,47074,CO-1D,102567.28153188077
2560,CO-1,NA,65575,CA-9,14595,US-0,RE-17,NA,CO-5,30362.92,IT-1A,26506,CO-19,47117.58743429972
2561,CO-1F,NA,40870,CA-1E,18955,US-2,RE-A,18126.1353,CO-2,819.0,IT-B,10781,CO-D,-50194.24177161713
2562,CO-12,NA,42778,CA-21,22735,US-15,RE-12,20846.0154,CO-7,44541.65,IT-5,22780,CO-0,70743.40521332902
2563,CO-14,2770.02,50064,CA-8,12923,US-1B,RE-15,9079.9928,CO-D,56023.84,IT-E,21122,CO-27,138144.34126249526
2564,CO-C,1366.75,53240,CA-F,11430,US-6,RE-9,12791.7344,CO-2,54206.57,IT-B,12059,CO-1F,121834.990896911
2565,CO-24,2615.08,40198,CA-25,17027,US-14,RE-7,13217.7958,CO-5,42482.64,IT-1,17208,CO-14,86413.25341188096
2566,CO-1C,6680.36,56376,CA-6,7983,US-16,RE-E,23767.9408,CO-5,25764.16,IT-8,1791,CO-1A,5990.746375209403
2567,CO-1F,6504.12,53156,CA-F,21874,US-12,RE-1,14574.6894,CO-6,43641.28,IT-1A,50187,CO-25,87166.83927257793
2568,CO-1E,3961.36,55489,CA-15,22779,US-14,RE-C,11959.8384,CO-2,41859.66,IT-18,29294,CO-8,88600.71266785092
2569,CO-5,2793.17,41873,CA-12,24344,US-3,RE-8,8816.6566,CO-E,48299.41,IT-17,52670,CO-E,116992.9248014926
2570,CO-D,6736.61,49088,CA-19,19522,US-E,RE-C,13630.4495,CO-4,31272.37,IT-5,10599,CO-7,52124.722996329714
2571,CO-12,5828.62,41685,CA-1A,19848,US-14,RE-5,18935.0649,CO-8,23758.23,IT-B,49234,CO-8,16628.699512569445
2572,CO-29,NA,55267,CA-0,15893,US-16,RE-13,12176.7146,CO-E,30826.38,IT-11,49023,CO-D,56272.86070723869
2573,CO-16,725.36,20942,CA-26,19603,US-16,RE-2,7821.4059,CO-2,31423.43,IT-C,10990,CO-20,69435.16332087792
2574,CO-1,NA,33537,CA-24,20579,US-13,RE-5,11020.2472,CO-B,13202.14,IT-D,43328,CO-5,7682.4431081997145
2575,CO-D,2343.27,42814,CA-14,14356,US-29,RE-1B,5699.849,CO-4,46262.94,IT-E,36698,CO-9,119484.89819006255
2576,CO-11,4725.37,70472,CA-16,15419,US-11,RE-14,11794.6543,CO-5,17702.67,IT-1,7031,CO-24,17563.621698650928
2577,CO-14,6625.01,39492,CA-27,20431,US-1B,RE-C,13035.0252,CO-8,54483.91,IT-1A,26122,CO-21,122431.76058011925
2578,CO-19,4623.68,34589,CA-21,18083,US-1E,RE-D,16103.8515,CO-9,53498.94,IT-C,23570,CO-5,110650.41554220328
2579,CO-25,NA,42336,CA-1A,21285,US-3,RE-1D,10455.6506,CO-7,21821.69,IT-19,9416,CO-1B,33605.28548267922
2580,CO-11,1245.17,49567,CA-0,14941,US-3,RE-1,9032.454,CO-F,50699.66,IT-5,25679,CO-17,122779.84433131752
2581,CO-2,4096.65,46093,CA-9,15385,US-22,RE-9,19971.3282,CO-F,26745.08,IT-12,8412,CO-10,20325.888077489708
2582,CO-C,2971.97,68838,CA-22,17378,US-21,RE-7,13942.8728,CO-A,59351.11,IT-15,38057,CO-22,134538.4808532465
2583,CO-2D,2371.58,58304,CA-20,30012,US-16,RE-0,13920.3804,CO-3,40415.45,IT-C,15892,CO-9,78277.03268238403
2584,CO-4,6741.94,61406,CA-20,26176,US-23,RE-F,18168.1332,CO-6,33842.11,IT-13,16924,CO-13,46786.598907305364
2585,CO-12,NA,42599,CA-22,25686,US-11,RE-6,8386.3533,CO-1,45428.04,IT-17,40324,CO-1D,109505.00200869031
2586,CO-8,NA,48276,CA-9,18374,US-20,RE-D,15658.0053,CO-0,48675.26,IT-F,43098,CO-1,98594.32358848443
2587,CO-21,593.31,51067,CA-1A,19087,US-14,RE-17,11976.008,CO-E,64545.4,IT-E,13036,CO-1C,154536.4736070528
2588,CO-2D,1195.84,48207,CA-5,16708,US-7,RE-7,15363.5162,CO-2,39779.57,IT-B,49263,CO-24,73596.03738299695
2589,CO-2E,2508.04,51072,CA-1B,20410,US-26,RE-15,6200.8007,CO-1,52589.44,IT-3,17264,CO-1E,136292.5290914482
2590,CO-6,4291.93,47219,CA-1E,16273,US-25,RE-13,12562.5647,CO-8,33683.72,IT-9,31865,CO-6,62998.72640973291
2591,CO-B,4796.51,36261,CA-1A,21585,US-1D,RE-12,12825.945,CO-D,39259.33,IT-C,42738,CO-22,78962.357597226
2592,CO-15,5326.76,51775,CA-10,17556,US-2,RE-1,15869.6431,CO-1,50853.02,IT-15,12833,CO-23,103116.10763392974
2593,CO-14,5562.51,42058,CA-15,23358,US-B,RE-14,11057.2388,CO-8,49386.85,IT-18,9657,CO-19,112669.5387669468
2594,CO-1,NA,29385,CA-1,24776,US-2B,RE-1A,7561.7182,CO-A,42417.19,IT-B,21109,CO-27,102625.45964699544
2595,CO-1E,3400.59,58967,CA-19,13299,US-14,RE-E,15750.1943,CO-4,69355.06,IT-F,41945,CO-24,158910.53779876168
2596,CO-17,6750.69,54373,CA-2,17000,US-18,RE-8,14378.4478,CO-3,43290.13,IT-16,11331,CO-1E,85210.27767687458
2597,CO-28,3636.94,49267,CA-23,11020,US-13,RE-19,13856.8,CO-E,29518.51,IT-8,3387,CO-14,46060.20471348766
2598,CO-22,2223.5,38339,CA-1D,19691,US-1A,RE-B,16288.3792,CO-10,38186.82,IT-1C,52726,CO-5,66487.12105800518
2599,CO-27,6060.6,44715,CA-7,15909,US-19,RE-16,12246.183,CO-10,26557.24,IT-15,27590,CO-11,42871.27260392928
2600,CO-2,6579.59,24583,CA-15,16929,US-4,RE-B,9654.1327,CO-4,77947.52,IT-1A,39644,CO-22,201236.7454458913
2601,CO-D,6585.71,53918,CA-1A,20457,US-23,RE-7,18423.462,CO-9,43180.53,IT-A,9641,CO-1,73069.9920058843
2602,CO-0,2002.57,43585,CA-26,18305,US-C,RE-B,10605.2935,CO-4,51409.58,IT-C,20747,CO-2,120220.16834414499
2603,CO-22,4640.82,47816,CA-C,15721,US-22,RE-19,15076.5027,CO-B,26764.18,IT-12,34149,CO-18,35647.87811085449
2604,CO-19,6029.21,31009,CA-8,24331,US-C,RE-2,20150.282,CO-B,45048.33,IT-10,24917,CO-7,74340.51677022444
2605,CO-8,NA,44724,CA-F,22278,US-2B,RE-13,15699.2915,CO-D,54897.0,IT-5,27218,CO-B,116053.54100570173
2606,CO-25,4057.11,54986,CA-3,11159,US-C,RE-1B,11931.6773,CO-A,52447.51,IT-9,9861,CO-F,119106.1485560709
2607,CO-11,1256.28,56334,CA-19,18956,US-10,RE-11,10024.475,CO-10,41186.99,IT-6,28585,CO-3,92130.1744885354
2608,CO-28,905.53,54712,CA-1C,13663,US-1D,RE-0,18866.0311,CO-3,52321.4,IT-1C,51889,CO-19,100680.47682869897
2609,CO-21,6405.85,43237,CA-3,13859,US-D,RE-B,14920.7844,CO-D,54052.55,IT-C,1997,CO-16,114817.98510750629
2610,CO-25,3602.35,41102,CA-22,19032,US-17,RE-D,18528.4851,CO-0,62332.86,IT-18,15454,CO-8,129191.79996768621
2611,CO-1E,NA,68149,CA-6,20341,US-12,RE-1A,21479.997,CO-10,33684.15,IT-5,27040,CO-E,37333.9820615135
2612,CO-1E,2773.43,47817,CA-C,4249,US-E,RE-14,12323.0117,CO-E,34566.4,IT-14,2358,CO-21,65306.03177683332
2613,CO-D,1314.02,56470,CA-3,19903,US-25,RE-1D,15494.3824,CO-E,48607.45,IT-18,30668,CO-E,98346.7915619407
2614,CO-5,NA,58082,CA-C,13614,US-15,RE-16,14537.1653,CO-2,62883.22,IT-1C,14256,CO-17,142291.72487817562
2615,CO-20,NA,66432,CA-F,23354,US-18,RE-A,6964.5399,CO-1,38090.05,IT-0,16828,CO-9,91577.65305892746
2616,CO-E,806.58,59112,CA-11,15750,US-29,RE-9,9894.3824,CO-10,44762.68,IT-0,24205,CO-25,102867.81087557855
2617,CO-1A,2572.92,61846,CA-0,14154,US-1D,RE-13,8395.3168,CO-C,42307.01,IT-4,4967,CO-19,99544.30767598335
2618,CO-13,1549.19,49302,CA-22,17416,US-25,RE-6,17989.777,CO-6,37139.65,IT-9,19980,CO-C,57108.93274433347
2619,CO-5,2851.6,30415,CA-6,25555,US-7,RE-C,10607.7842,CO-0,44710.15,IT-7,32594,CO-1E,100907.12756148986
2620,CO-1E,NA,33805,CA-1B,25570,US-14,RE-F,17059.1064,CO-4,57740.94,IT-11,52198,CO-3,121634.91837155729
2621,CO-27,6858.27,46552,CA-20,21774,US-1E,RE-8,16553.5103,CO-10,54455.13,IT-1C,39682,CO-18,112869.35911786664
2622,CO-7,NA,55882,CA-1E,16551,US-3,RE-13,16736.8761,CO-E,59384.82,IT-C,34937,CO-15,126592.2860968573
2623,CO-2,3464.13,31386,CA-0,17997,US-8,RE-8,14281.8324,CO-D,63503.59,IT-7,19163,CO-5,145039.03745002902
2624,CO-8,4577.91,65182,CA-21,25500,US-12,RE-1C,19241.814,CO-E,60632.19,IT-0,28855,CO-24,122826.6154187657
2625,CO-C,5110.87,64908,CA-A,24173,US-1,RE-1C,8026.549,CO-B,34799.6,IT-B,9831,CO-17,78718.1102555615
2626,CO-8,2261.59,67655,CA-6,18107,US-2B,RE-15,11890.7957,CO-F,54353.91,IT-1,28775,CO-1D,125406.08106710072
2627,CO-B,5002.35,52993,CA-13,14776,US-17,RE-1C,14320.1734,CO-4,50702.39,IT-5,7020,CO-0,106944.0005822883
2628,CO-A,3739.5,62385,CA-1,14234,US-28,RE-12,9028.3066,CO-5,42403.41,IT-5,45825,CO-F,98955.64571421985
2629,CO-1E,1365.58,53389,CA-24,8708,US-12,RE-5,11806.6805,CO-1,39875.93,IT-1E,3018,CO-1C,82399.52254855106
2630,CO-23,527.84,58279,CA-2,24736,US-D,RE-8,21109.3523,CO-C,63910.56,IT-5,38652,CO-E,127644.90575922788
2631,CO-14,1305.28,49927,CA-16,16185,US-7,RE-15,13565.3857,CO-F,71598.42,IT-A,7812,CO-B,170422.7208295679
2632,CO-1C,5897.91,46508,CA-21,16481,US-B,RE-1D,19167.6658,CO-0,45490.73,IT-9,19768,CO-F,78192.2762763023
2633,CO-21,502.42,38671,CA-25,16250,US-6,RE-5,14425.943,CO-10,67271.88,IT-1D,4515,CO-5,155106.1898271935
2634,CO-0,3806.29,64648,CA-6,16835,US-6,RE-0,11610.3197,CO-3,47754.71,IT-10,40893,CO-14,107235.10346332368
