id,height,width,depth,shape,quality,cost
2037,72,9,3,ellipsoid,81,1.78
2038,33,80,96,cylinder,45,1346.58
2039,31,97,40,ellipsoid,20,464.78
2040,13,95,44,ellipsoid,84,41.99
2041,30,95,81,ellipsoid,75,278.76
2042,25,60,25,box,2,452.02
2043,17,90,10,cylinder,48,76.85
2044,38,19,73,cylinder,69,157.83
2045,56,40,99,cylinder,37,1349.64
2046,31,35,7,box,83,15.88
2047,68,91,76,cylinder,43,2589.6
2048,63,29,24,ellipsoid,52,101.66
2049,3,30,7,box,45,4.26
2050,63,35,46,ellipsoid,19,396.84
2051,79,19,56,cylinder,80,162.4
2052,11,76,44,box,49,230.74
2053,86,11,72,box,14,720.48
2054,36,46,52,cylinder,49,424.25
2055,39,64,80,cylinder,44,1080.23
2056,25,29,68,ellipsoid,90,23.81
2057,7,4,16,ellipsoid,18,1.77
2058,87,37,77,cylinder,43,1364.83
2059,82,5,37,box,22,145.54
2060,61,6,65,ellipsoid,38,71.24
2061,51,10,17,ellipsoid,63,15.49
2062,24,13,1,ellipsoid,25,1.13
2063,28,85,24,ellipsoid,75,68.97
2064,12,46,82,ellipsoid,10,196.77
2065,36,76,48,box,39,985.35
2066,74,92,6,ellipsoid,88,23.67
2067,19,86,54,box,73,293.03
2068,19,90,12,ellipsoid,97,2.97
2069,47,49,84,box,31,1641.82
2070,94,7,96,ellipsoid,38,189.17
2071,69,61,45,cylinder,34,1207.62
2072,10,28,48,ellipsoid,92,5.19
2073,96,19,98,cylinder,87,224.48
2074,9,2,60,ellipsoid,70,1.56
2075,80,8,4,ellipsoid,58,5.19
2076,61,56,2,cylinder,81,12.53
2077,81,86,92,cylinder,52,2971.71
2078,36,10,19,cylinder,34,43.61
2079,67,64,41,box,78,475.73
2080,14,89,17,ellipsoid,51,50.13
2081,2,90,98,ellipsoid,1,84.35
2082,11,21,40,ellipsoid,32,30.34
2083,19,50,24,cylinder,23,169.59
2084,76,40,3,ellipsoid,88,5.28
2085,82,87,39,cylinder,94,161.26
2086,99,82,53,cylinder,18,3408.26
2087,83,30,63,box,78,424.49
2088,72,83,6,box,31,304.3
2089,70,58,54,cylinder,83,360.05
2090,85,98,34,cylinder,19,2216.17
2091,26,46,41,ellipsoid,86,33.15
2092,69,77,80,box,47,2770.83
2093,66,52,5,cylinder,84,26.52
2094,53,52,13,ellipsoid,81,32.88
2095,84,44,78,box,4,3404.1
2096,45,13,96,ellipsoid,62,103.08
2097,69,62,50,box,83,447.26
2098,86,40,29,cylinder,83,163.83
2099,65,89,90,cylinder,9,4577.01
2100,73,21,10,cylinder,42,85.89
2101,38,88,43,cylinder,87,180.58
2102,4,13,6,box,24,2.91
2103,81,35,13,cylinder,24,270.58
2104,30,44,37,box,6,564.68
2105,85,87,92,ellipsoid,99,32.86
2106,34,51,91,box,22,1513.87
2107,48,16,97,ellipsoid,26,266.27
2108,69,8,67,cylinder,74,92.89
2109,24,88,1,ellipsoid,54,4.69
2110,28,19,49,cylinder,69,78.06
2111,61,66,61,ellipsoid,50,593.11
2112,12,17,34,box,97,2.55
2113,77,88,46,cylinder,28,2167.99
2114,76,88,5,box,47,217.99
2115,8,64,35,ellipsoid,15,73.57
2116,65,58,58,box,96,107.58
2117,50,58,35,box,46,674.16
2118,29,36,70,ellipsoid,29,250.62
2119,47,35,63,cylinder,67,330.38
2120,98,25,27,box,32,553.27
2121,55,93,8,box,99,5.03
2122,19,7,73,ellipsoid,16,39.39
2123,13,61,91,box,7,825.47
2124,19,7,8,ellipsoid,7,4.77
2125,78,50,58,box,42,1613.71
2126,64,88,57,cylinder,65,1085.42
2127,59,86,72,box,3,4358.72
2128,94,45,38,box,42,1146.71
2129,96,21,83,box,85,308.72
2130,48,42,37,cylinder,23,554.85
2131,16,97,99,ellipsoid,40,445.29
2132,59,35,96,ellipsoid,49,488.34
2133,34,92,61,ellipsoid,86,129.02
2134,24,26,94,cylinder,19,458.97
2135,46,46,26,ellipsoid,18,217.9
2136,10,59,48,ellipsoid,61,53.34
2137,75,79,19,ellipsoid,12,478.5
2138,26,20,45,box,44,161.17
2139,98,67,27,ellipsoid,85,128.44
2140,8,32,35,ellipsoid,100,0
2141,75,99,64,ellipsoid,52,1101.74
2142,33,22,11,box,27,71.7
2143,38,87,40,cylinder,49,651.52
2144,39,48,84,box,59,793
2145,56,14,44,cylinder,85,49.98
2146,65,82,60,box,42,2281.45
2147,28,38,19,cylinder,6,183.57
2148,63,52,92,cylinder,98,58.23
2149,57,88,51,box,13,2737.48
2150,27,5,1,ellipsoid,1,0.64
2151,30,15,96,box,26,393.2
2152,30,60,46,box,45,560.14
2153,77,16,12,ellipsoid,10,64.26
2154,1,78,24,cylinder,51,8.86
2155,84,57,56,ellipsoid,12,1139.69
2156,78,73,88,ellipsoid,14,2081.43
2157,84,87,75,ellipsoid,61,1032.49
2158,54,54,88,ellipsoid,95,61.97
2159,15,52,25,ellipsoid,13,81.94
2160,7,14,61,ellipsoid,55,12.99
2161,37,20,70,ellipsoid,70,75.06
2162,68,91,51,box,57,1669.14
2163,35,67,26,box,20,599.94
2164,76,37,99,ellipsoid,70,403.4
2165,41,42,77,ellipsoid,39,390.67
2166,89,12,73,box,91,86.3
2167,13,69,89,box,31,677.54
2168,93,62,61,box,72,1211.34
2169,26,62,59,ellipsoid,46,248.07
2170,85,93,38,ellipsoid,14,1247.81
2171,19,66,30,box,62,175.83
2172,15,86,36,ellipsoid,85,33.64
2173,81,90,10,cylinder,91,63.38
2174,44,14,15,box,79,23.86
2175,51,44,85,box,25,1759.57
2176,44,84,85,cylinder,91,273.14
2177,31,32,84,ellipsoid,61,156.97
2178,96,20,40,cylinder,85,111.28
2179,81,12,48,box,69,177.89
2180,25,66,73,ellipsoid,46,314.17
2181,65,25,99,box,11,1761.09
2182,65,18,25,ellipsoid,68,45.21
2183,14,62,30,box,74,83.27
2184,33,27,40,cylinder,8,316.75
2185,46,92,22,cylinder,61,350.77
2186,18,64,86,cylinder,24,727.37
2187,53,16,47,cylinder,70,115.5
2188,44,91,71,ellipsoid,64,494.33
2189,53,50,63,box,4,1971.34
2190,8,94,45,box,79,87.4
2191,59,51,44,cylinder,60,511.59
2192,20,70,70,ellipsoid,91,42.6
2193,99,77,47,ellipsoid,79,363.41
2194,87,80,36,box,8,2835.33
2195,48,22,61,ellipsoid,91,28
2196,18,74,8,ellipsoid,48,26.76
2197,2,77,93,box,18,144.45
2198,74,48,44,ellipsoid,76,181.17
2199,80,62,80,cylinder,27,2798.26
2200,65,66,80,cylinder,55,1491.95
2201,57,79,59,box,51,1601.23
2202,75,13,92,cylinder,62,329.28
2203,60,43,6,box,72,53.31
2204,55,27,59,box,64,387.95
2205,54,15,89,cylinder,85,104.46
2206,54,23,39,cylinder,7,435.17
2207,12,45,63,ellipsoid,70,49.29
2208,31,39,46,ellipsoid,12,236.39
2209,40,73,2,cylinder,58,23.69
2210,75,63,88,ellipsoid,44,1124.7
2211,89,32,18,ellipsoid,64,89.14
2212,38,66,73,box,31,1553.83
2213,58,82,17,ellipsoid,37,246.03
2214,28,32,10,cylinder,90,8.65
2215,71,64,79,box,68,1412.92
2216,35,43,26,box,77,110.69
2217,78,13,85,box,87,137.81
2218,95,94,84,ellipsoid,98,72.46
2219,44,74,47,box,91,169.4
2220,5,18,70,cylinder,50,30.43
2221,82,31,27,ellipsoid,61,129.29
2222,32,43,30,box,60,203.09
2223,36,8,34,box,21,95.14
2224,24,99,23,cylinder,82,95.02
2225,11,55,38,ellipsoid,51,54.41
2226,60,45,88,box,75,730.62
2227,34,42,38,cylinder,84,83.87
2228,89,9,20,box,33,132.02
2229,93,77,14,box,59,505.58
2230,22,48,96,ellipsoid,53,230.14
2231,16,14,5,box,96,0.55
2232,39,22,57,box,79,126.32
2233,82,23,21,box,49,248.44
2234,81,28,54,box,86,210.89
2235,92,86,95,ellipsoid,19,2940.76
2236,50,43,5,cylinder,27,75.8
2237,71,11,3,ellipsoid,75,2.82
2238,97,89,62,box,10,5925.17
2239,11,80,9,ellipsoid,81,7.26
2240,12,60,88,cylinder,86,85.69
2241,30,75,10,ellipsoid,86,15.21
2242,14,45,60,cylinder,89,40.16
2243,8,75,89,cylinder,27,376.58
2244,73,60,41,box,28,1590.36
2245,47,68,94,cylinder,32,1973.5
2246,6,24,57,box,15,85.81
2247,41,87,41,box,12,1582.97
2248,1,49,59,box,60,14.22
2249,14,86,96,box,72,398.07
2250,78,39,42,cylinder,39,752.89
2251,58,40,13,box,7,345
2252,81,63,44,cylinder,74,563.95
2253,84,10,89,box,86,128.73
2254,90,78,14,box,32,822.01
2255,2,28,76,ellipsoid,3,19.94
2256,14,90,45,cylinder,76,131.45
2257,78,72,54,ellipsoid,49,747.06
2258,2,71,35,cylinder,31,33.12
2259,51,62,22,box,57,367.92
2260,40,75,29,ellipsoid,64,151.28
2261,36,23,24,cylinder,43,109.42
2262,62,46,55,box,74,501.63
2263,32,33,66,box,63,317.18
2264,71,8,38,ellipsoid,39,63.59
2265,50,32,51,box,77,230.84
2266,73,4,30,ellipsoid,73,11.42
2267,61,44,55,box,35,1180.22
2268,59,85,69,cylinder,5,3175.69
2269,9,29,9,cylinder,35,14.74
2270,37,99,50,box,45,1239
2271,47,57,5,ellipsoid,63,23.93
2272,90,22,86,box,96,83.77
2273,99,11,55,ellipsoid,72,81
2274,49,89,60,cylinder,52,1213.31
2275,95,93,32,ellipsoid,22,1065.16
2276,31,95,41,box,89,163.36
2277,83,18,86,box,10,1422.31
2278,21,60,26,cylinder,7,294.32
2279,30,89,70,ellipsoid,76,216.66
2280,40,26,73,cylinder,85,110.01
2281,22,92,32,ellipsoid,46,168.93
2282,8,1,49,ellipsoid,74,0.49
2283,87,95,27,cylinder,59,883.86
2284,13,81,89,box,43,657.04
2285,50,84,3,box,91,13.94
2286,34,18,27,cylinder,72,44.69
2287,67,67,66,ellipsoid,6,1345.19
2288,74,40,87,ellipsoid,85,186.58
2289,42,70,3,box,32,73.77
2290,69,58,15,cylinder,28,417.53
2291,78,71,24,ellipsoid,35,417.29
2292,20,68,57,cylinder,38,464.3
2293,81,64,12,box,80,153.03
2294,58,59,95,box,80,799.72
2295,79,80,58,box,79,946.82
2296,94,24,28,cylinder,13,530.89
2297,73,17,50,cylinder,4,575.45
2298,90,28,28,ellipsoid,15,289.69
2299,4,57,54,cylinder,33,79.68
2300,37,42,61,cylinder,40,549.44
2301,42,78,92,box,16,3113.98
2302,51,44,60,ellipsoid,29,461.73
2303,52,20,41,box,48,272.72
2304,50,20,44,box,3,524.96
2305,30,2,87,box,98,1.28
2306,84,19,21,cylinder,94,19.42
2307,22,87,7,cylinder,74,33.65
2308,84,40,57,box,74,612.48
2309,28,54,37,cylinder,2,529.63
2310,65,2,37,ellipsoid,72,6.5
2311,41,60,52,ellipsoid,36,395.44
2312,92,55,5,ellipsoid,59,50.1
2313,27,99,14,ellipsoid,19,146.41
2314,83,93,8,box,36,486.11
2315,70,57,18,ellipsoid,21,274.05
2316,46,35,7,cylinder,2,106.69
2317,9,17,84,cylinder,92,9.93
2318,99,93,86,cylinder,91,688.42
2319,1,49,34,box,89,2.25
2320,35,26,42,ellipsoid,9,167.99
2321,85,16,44,cylinder,9,526.05
2322,43,42,12,box,40,159.93
2323,71,78,87,cylinder,63,1722.14
2324,38,76,79,box,46,1515.38
2325,65,29,29,cylinder,31,364.37
2326,81,28,5,ellipsoid,5,52.03
2327,3,61,65,ellipsoid,16,48.26
2328,99,84,18,cylinder,86,202.44
2329,38,88,53,cylinder,98,34.24
2330,1,46,48,ellipsoid,97,0.31
2331,61,35,36,box,85,141.8
2332,14,60,51,cylinder,14,355.91
2333,79,30,63,ellipsoid,65,252.41
2334,5,37,63,ellipsoid,54,25.89
2335,86,16,80,box,60,541.59
2336,16,76,19,box,76,68.2
2337,18,6,43,ellipsoid,57,9.64
2338,11,64,50,cylinder,79,71.4
2339,61,27,66,cylinder,43,598.55
2340,94,33,23,ellipsoid,55,155.07
2341,97,13,66,ellipsoid,26,297.47
2342,74,89,81,ellipsoid,2,2525.21
2343,6,64,50,ellipsoid,46,50.07
2344,10,98,86,box,56,456.12
2345,88,49,14,cylinder,57,250.76
2346,29,36,92,box,67,389.85
2347,95,9,27,cylinder,1,220.78
2348,60,54,11,ellipsoid,53,80.9
2349,61,5,81,ellipsoid,55,53.69
2350,22,32,72,ellipsoid,6,230.14
2351,75,95,43,box,4,3617.67
2352,90,88,42,ellipsoid,87,208.87
2353,68,20,25,box,45,230.01
2354,55,74,85,cylinder,48,1737.84
2355,63,9,27,ellipsoid,90,7.39
2356,48,76,65,box,3,2829.07
2357,16,26,51,box,44,146.13
2358,17,40,28,box,45,128.8
2359,80,27,61,box,93,113.44
2360,16,65,37,box,56,208.25
2361,55,31,10,cylinder,43,93.88
2362,55,58,8,ellipsoid,29,87.51
2363,16,85,55,cylinder,83,122.84
2364,68,17,70,ellipsoid,69,121.16
2365,20,86,46,ellipsoid,33,256.05
2366,7,9,26,box,3,19.54
2367,16,86,62,cylinder,39,502.73
2368,94,28,15,cylinder,3,369.95
2369,45,33,9,box,85,24.65
2370,31,60,93,cylinder,5,1587.5
2371,77,33,66,cylinder,49,826.25
2372,35,88,91,box,48,1792.67
2373,83,55,35,box,24,1493.57
2374,80,81,97,ellipsoid,27,2216.33
2375,52,86,68,ellipsoid,19,1189.76
2376,71,18,16,box,47,133.3
2377,62,28,75,box,58,672.61
2378,21,8,93,ellipsoid,9,68.67
2379,91,28,55,cylinder,59,555.06
2380,34,66,20,cylinder,96,17.34
2381,46,18,77,box,44,439.15
2382,5,81,6,box,89,3.28
2383,86,69,60,ellipsoid,49,877.06
2384,5,78,25,box,1,118.72
2385,87,17,81,cylinder,31,798.54
2386,79,99,43,box,45,2275.08
2387,52,94,24,ellipsoid,90,56.66
2388,66,18,9,ellipsoid,59,21.17
2389,22,31,76,box,68,204.01
2390,12,80,95,cylinder,26,651.96
2391,36,73,25,box,90,80.81
2392,82,26,63,cylinder,47,687.69
2393,22,46,27,ellipsoid,1,130.66
2394,7,3,8,cylinder,37,1.02
2395,37,72,24,cylinder,32,420
2396,70,8,33,ellipsoid,33,59.8
2397,21,76,27,ellipsoid,42,120.72
2398,37,26,32,ellipsoid,9,135.31
2399,87,82,87,box,15,6488.97
2400,98,71,68,box,62,2211.47
2401,46,15,19,box,94,9.67
2402,77,88,46,ellipsoid,90,150.55
2403,40,31,31,box,54,217.49
2404,59,88,96,ellipsoid,26,1781.56
2405,75,47,34,ellipsoid,65,202.61
2406,41,68,32,cylinder,47,456.78
2407,71,77,75,ellipsoid,40,1188.3
2408,22,17,22,box,90,10.12
2409,61,97,3,ellipsoid,24,65.16
2410,13,57,17,box,48,80.57
2411,93,91,15,ellipsoid,28,441.48
2412,99,24,74,box,77,497.4
2413,59,70,75,ellipsoid,73,403.96
2414,96,21,44,cylinder,61,334.19
2415,77,30,69,cylinder,83,261.76
2416,40,7,33,ellipsoid,82,8.03
2417,20,37,29,cylinder,35,134.75
2418,50,2,28,box,54,15.84
2419,78,29,40,ellipsoid,11,388.96
2420,88,58,51,box,72,896.48
2421,76,89,39,box,27,2368.62
2422,27,57,71,cylinder,16,886.68
2423,13,19,34,cylinder,97,2.43
2424,93,31,24,cylinder,47,354.26
2425,93,22,6,ellipsoid,18,48.62
2426,56,93,88,box,31,3889.62
2427,45,10,85,ellipsoid,99,1.84
2428,59,70,95,cylinder,55,1705.61
2429,14,51,51,box,11,398.62
2430,26,28,36,cylinder,29,179.75
2431,9,27,11,box,53,15.45
2432,76,56,28,cylinder,4,1105.16
2433,79,3,21,cylinder,2,47.11
2434,80,32,96,ellipsoid,71,344.25
2435,73,98,7,cylinder,88,58.05
2436,64,9,73,box,19,418.92
2437,94,64,23,cylinder,64,481.2
2438,12,94,36,cylinder,14,337.36
2439,39,50,58,box,28,1001.61
2440,54,51,85,ellipsoid,72,316.59
2441,94,42,10,ellipsoid,4,183.06
2442,44,75,63,cylinder,29,1425.96
2443,1,95,81,ellipsoid,46,20.07
2444,87,99,54,box,50,2860.37
2445,90,51,53,cylinder,27,1715.56
2446,1,30,52,ellipsoid,91,0.67
2447,31,49,70,cylinder,26,760.12
2448,46,54,80,cylinder,18,1574.16
2449,82,13,75,ellipsoid,65,135.16
2450,2,84,12,ellipsoid,50,4.86
2451,19,85,30,cylinder,3,454
2452,71,93,94,cylinder,83,1019.32
2453,87,85,52,box,1,4682.54
2454,8,86,80,box,98,13.53
2455,76,45,61,ellipsoid,83,171.3
2456,82,19,78,cylinder,72,328.71
2457,60,18,67,box,56,391.61
2458,36,10,31,box,56,60.39
2459,45,15,78,cylinder,88,61.03
2460,71,71,96,box,91,535.71
2461,22,95,3,ellipsoid,74,7.87
2462,61,21,94,box,10,1332.98
2463,88,90,91,ellipsoid,29,2471.66
2464,15,25,71,box,88,39.29
2465,96,5,7,cylinder,63,12
2466,26,64,28,box,21,452.73
2467,67,65,8,ellipsoid,93,11.77
2468,64,41,26,ellipsoid,50,164.76
2469,75,19,7,ellipsoid,75,12.04
2470,34,16,90,ellipsoid,98,4.72
2471,3,46,84,ellipsoid,98,1.11
2472,96,63,88,box,96,261.85
2473,53,55,21,ellipsoid,93,20.69
2474,34,18,69,ellipsoid,33,136.65
2475,94,33,39,ellipsoid,37,368.13
2476,69,48,14,ellipsoid,70,67.18
2477,63,73,26,cylinder,42,669.97
2478,64,26,80,ellipsoid,37,405.08
2479,30,60,77,cylinder,18,1097.92
2480,72,65,79,ellipsoid,65,625.03
2481,66,65,19,ellipsoid,61,153.54
2482,61,3,89,box,87,26.04
2483,55,54,71,box,46,1400.59
2484,48,76,78,cylinder,81,522.27
2485,58,45,94,ellipsoid,67,391.06
2486,83,80,45,box,23,2829.93
2487,36,17,8,box,27,43.96
2488,58,71,68,box,50,1722.14
2489,61,32,94,box,31,1557.26
2490,22,73,63,ellipsoid,11,434.95
2491,46,48,13,box,11,314.22
2492,43,25,84,box,67,366.52
2493,64,2,17,cylinder,67,6.93
2494,60,40,64,cylinder,18,1216.74
2495,8,57,14,cylinder,1,61.05
2496,41,12,26,box,31,108.56
2497,61,64,28,ellipsoid,1,522.71
2498,31,61,98,box,14,1960.29
2499,45,59,39,box,35,827.84
2500,58,19,75,cylinder,58,335.34
2501,67,61,4,cylinder,71,45.79
2502,34,15,73,ellipsoid,9,163.64
2503,2,49,12,cylinder,36,7.27
2504,52,32,31,box,91,57.1
2505,89,9,31,box,53,143.54
2506,43,15,84,box,61,259.9
2507,99,59,72,ellipsoid,70,609.4
2508,39,50,15,box,20,287.82
2509,73,12,78,cylinder,90,66
2510,48,24,13,ellipsoid,19,58.59
2511,74,62,71,box,96,160.26
2512,95,58,45,box,10,2744.8
2513,64,46,17,box,31,424.75
2514,19,74,90,ellipsoid,65,213.92
2515,7,88,34,box,70,77.28
2516,31,34,67,box,6,816.48
2517,37,44,11,box,25,165.2
2518,39,43,28,ellipsoid,100,0
2519,94,18,90,ellipsoid,19,595.78
2520,64,60,44,ellipsoid,93,57.12
2521,98,30,41,cylinder,87,151.38
2522,70,52,90,cylinder,81,601.3
2523,84,44,79,box,20,2873.12
2524,99,27,82,ellipsoid,33,709.33
2525,69,50,94,cylinder,94,187.97
2526,19,53,85,ellipsoid,92,33.07
2527,4,82,26,cylinder,31,56.84
2528,25,97,39,box,4,1116.74
2529,62,26,35,cylinder,72,152.61
2530,17,49,7,box,29,50.92
2531,36,62,3,ellipsoid,38,20.05
2532,6,77,65,cylinder,61,113.13
2533,34,43,55,ellipsoid,84,62.14
2534,4,56,18,box,88,5.95
2535,20,12,31,cylinder,49,36.65
2536,69,25,80,box,45,933.57
2537,69,42,46,ellipsoid,24,489.36
2538,40,75,94,box,21,2740.19
2539,17,30,69,box,5,411.19
2540,1,3,91,ellipsoid,46,0.71
2541,17,88,57,ellipsoid,86,57.66
2542,50,60,77,cylinder,75,557.88
2543,23,91,7,ellipsoid,12,62.27
2544,25,65,24,ellipsoid,80,37.67
2545,45,88,69,box,47,1781.25
2546,65,85,38,ellipsoid,94,60.84
2547,12,58,31,box,66,90.23
2548,37,56,70,ellipsoid,13,609.49
2549,69,85,61,ellipsoid,85,259.21
2550,69,48,55,cylinder,53,827.07
2551,39,53,57,ellipsoid,12,500.79
2552,70,38,65,cylinder,25,1252.71
2553,81,10,65,ellipsoid,40,152.58
2554,83,60,56,ellipsoid,31,929.46
2555,96,44,51,box,67,874.4
2556,99,48,99,box,1,5728.64
2557,9,21,80,ellipsoid,81,13.87
2558,12,57,87,ellipsoid,54,132.22
2559,35,24,41,ellipsoid,32,113.11
2560,71,63,81,box,60,1782.57
2561,31,32,11,ellipsoid,45,28.98
2562,35,29,84,ellipsoid,5,391.23
2563,4,15,85,box,74,16.3
2564,89,22,82,box,82,355.47
2565,13,98,46,ellipsoid,50,141.53
2566,26,47,53,ellipsoid,50,156.41
2567,84,78,72,box,42,3365.42
2568,38,58,62,cylinder,7,1227.66
2569,13,65,14,ellipsoid,59,23.42
2570,37,25,88,box,23,770.93
2571,86,67,27,ellipsoid,59,308.09
2572,4,33,97,ellipsoid,30,43.29
2573,43,36,70,ellipsoid,80,104.68
2574,35,94,45,ellipsoid,98,14.3
2575,62,83,45,cylinder,11,1990.98
2576,13,1,70,box,18,9.17
2577,56,40,71,cylinder,68,491.64
2578,93,45,78,cylinder,67,1040.63
2579,81,78,7,cylinder,31,294.79
2580,86,73,14,box,38,670.26
2581,17,31,24,ellipsoid,61,23.82
2582,45,51,97,box,58,1150.02
2583,34,44,45,cylinder,98,13
2584,99,36,96,box,28,3030.02
2585,16,61,92,ellipsoid,2,425.03
2586,92,93,1,box,33,70.5
2587,55,81,75,cylinder,68,1032.88
2588,82,91,24,cylinder,81,328.71
2589,50,89,50,box,37,1724.15
2590,36,39,65,box,82,202.04
2591,35,69,30,cylinder,70,209.96
2592,98,15,69,box,91,112.28
2593,37,30,26,ellipsoid,66,47.39
2594,97,53,58,box,95,183.37
2595,63,88,20,ellipsoid,67,176.73
2596,52,49,87,ellipsoid,98,21.41
2597,83,23,70,box,48,854.69
2598,30,65,20,ellipsoid,33,126.21
2599,51,68,78,box,71,964.88
2600,73,81,17,cylinder,73,262.18
2601,87,39,82,ellipsoid,47,712.26
2602,15,25,75,ellipsoid,99,1.35
2603,5,19,93,box,29,77.15
2604,4,75,49,cylinder,48,73.84
2605,54,46,24,ellipsoid,51,141.09
2606,81,19,90,box,12,1499.23
2607,3,25,12,box,73,2.98
2608,47,55,86,box,95,136.72
2609,96,45,73,cylinder,88,365.58
2610,25,86,38,ellipsoid,65,138.11
2611,9,89,64,cylinder,87,64.37
2612,33,86,24,cylinder,71,190.81
2613,56,47,82,ellipsoid,28,750.58
2614,56,50,49,box,32,1147.54
2615,77,55,37,box,88,231.28
2616,52,66,24,ellipsoid,54,183.01
2617,66,50,50,ellipsoid,27,581.79
2618,74,85,74,box,93,400.76
2619,22,18,2,cylinder,98,0.15
2620,86,51,69,cylinder,92,233.88
2621,66,71,12,cylinder,4,521.49
2622,6,53,33,box,24,98.09
2623,25,86,75,box,30,1388.36
2624,71,1,74,cylinder,39,30.96
2625,13,30,97,box,50,232.65
2626,34,76,20,box,29,451.32
2627,58,78,97,cylinder,38,2628.33
2628,71,17,23,ellipsoid,11,119.34
2629,39,92,86,cylinder,89,327.89
2630,51,49,62,cylinder,37,942.96
2631,2,41,74,cylinder,41,34.58
2632,77,18,13,ellipsoid,70,26.1
2633,47,68,90,ellipsoid,44,778.04
2634,81,57,43,cylinder,31,1323.34
2635,48,98,74,ellipsoid,24,1277.84
2636,93,65,4,cylinder,81,44.38
2637,57,35,8,cylinder,10,138.76
2638,90,97,32,cylinder,98,53.97
2639,70,21,61,box,17,915.44
2640,96,16,97,box,42,1062.9
2641,67,28,80,ellipsoid,89,79.74
2642,93,43,59,box,68,928.66
2643,17,20,33,ellipsoid,18,44.43
2644,85,91,72,box,77,1575.52
2645,34,8,5,box,80,3.34
2646,95,78,87,box,17,6581.43
2647,48,34,14,cylinder,43,125.81
2648,53,71,19,ellipsoid,63,127.77
2649,26,96,23,box,58,296.56
2650,77,70,49,ellipsoid,9,1160.89
2651,12,12,41,cylinder,50,28.51
2652,4,45,58,cylinder,91,9.07
2653,22,45,30,ellipsoid,40,86.07
2654,43,1,89,box,25,35.3
2655,3,33,46,box,17,46.49
2656,97,68,20,cylinder,86,178.41
2657,46,79,48,cylinder,26,1246.96
2658,38,92,46,box,18,1621.99
2659,43,20,42,box,28,319.87
2660,55,80,86,ellipsoid,59,749.37
2661,90,79,28,box,42,1420.23
2662,2,86,7,box,73,3.99
2663,25,24,23,ellipsoid,99,0.66
2664,60,39,78,cylinder,66,599.49
2665,63,7,39,cylinder,73,44.86
2666,97,37,93,cylinder,99,32.24
2667,28,73,63,cylinder,44,696.63
2668,75,36,57,box,62,719.32
2669,77,66,30,box,42,1087.64
2670,53,46,20,ellipsoid,97,7.06
2671,68,98,96,cylinder,55,2781.08
2672,33,74,36,box,45,594.72
2673,28,7,72,cylinder,46,73.61
2674,21,57,41,ellipsoid,16,199.12
2675,50,48,84,cylinder,48,1012.71
2676,57,27,37,box,88,84.04
2677,77,7,49,cylinder,63,94.4
2678,7,88,12,cylinder,80,14.28
2679,30,78,50,cylinder,50,565.13
2680,41,46,77,ellipsoid,18,575.18
2681,67,38,27,ellipsoid,19,268.95
2682,86,11,21,box,78,53.75
2683,30,7,92,ellipsoid,53,43.86
2684,38,58,5,box,31,93.52
2685,1,5,61,ellipsoid,69,0.45
2686,6,21,1,box,21,1.22
2687,67,96,90,ellipsoid,46,1509.89
2688,38,31,96,ellipsoid,7,508
2689,61,99,68,ellipsoid,95,99.17
2690,90,31,31,ellipsoid,89,45.95
2691,52,43,16,cylinder,68,110.59
2692,87,83,38,ellipsoid,20,1060.31
2693,70,43,54,ellipsoid,16,659.48
2694,3,65,84,cylinder,74,41.14
2695,53,30,56,ellipsoid,64,154.82
2696,4,33,4,ellipsoid,92,0.2
2697,78,86,80,cylinder,74,1347.88
2698,64,5,38,cylinder,59,48.16
2699,14,27,38,cylinder,27,101.29
2700,49,5,4,cylinder,82,1.7
2701,74,53,93,ellipsoid,95,88.08
2702,41,88,19,box,68,269.82
2703,13,32,58,cylinder,15,198.12
2704,19,40,18,cylinder,86,18.5
2705,3,40,6,box,64,3.18
2706,22,71,26,box,19,404.61
2707,20,97,28,ellipsoid,79,55.09
2708,84,1,38,box,55,17.66
2709,77,20,43,ellipsoid,92,25.58
2710,98,18,59,ellipsoid,30,351.89
2711,38,58,46,ellipsoid,20,391.76
2712,88,94,63,cylinder,33,3373.03
2713,40,38,66,cylinder,58,407.03
2714,25,22,71,ellipsoid,16,158.44
2715,99,6,17,box,50,62.1
2716,22,16,14,cylinder,37,29.99
2717,2,93,80,cylinder,78,31.62
2718,79,89,1,ellipsoid,18,27.84
2719,83,70,64,box,40,2744.17
2720,64,87,21,cylinder,66,384.05
2721,2,7,62,ellipsoid,13,3.64
2722,61,31,57,ellipsoid,16,437.33
2723,4,14,43,cylinder,38,14.42
2724,27,66,30,ellipsoid,58,108.45
2725,88,11,21,box,59,102.51
2726,83,15,56,ellipsoid,97,10.1
2727,57,21,52,cylinder,37,378.82
2728,18,55,68,cylinder,39,396.7
2729,69,38,89,box,21,2267.53
2730,37,62,57,cylinder,80,252.63
2731,38,67,88,ellipsoid,1,1071.37
2732,22,65,96,cylinder,51,649.82
2733,74,69,47,box,68,944.56
2734,82,90,81,ellipsoid,24,2194.42
2735,81,94,51,ellipsoid,75,468.9
2736,45,84,55,cylinder,24,1526.38
2737,40,83,7,ellipsoid,85,16.83
2738,60,55,10,ellipsoid,92,12.75
2739,79,15,69,cylinder,94,47.39
2740,62,64,48,cylinder,54,846.38
